51300010888,bge,142,31
51300021579,ebc,95,211
51300075369,edb,292,182
51300097608,cac,194,204
51300140236,bga,237,41
51300165217,acc,67,284
51300181691,aac,195,168
51300183121,bab,228,78
51300227600,bbb,279,178
51300235320,fca,45,144
51300264847,bcf,199,298
51300274948,fbe,52,214
51300289996,age,56,287
51300316435,caf,31,88
51300336586,bba,244,71
51300355076,dee,86,283
51300366221,bcd,153,27
51300497188,egc,254,182
51300511018,afb,181,67
51300532352,abc,148,135
51300632482,ebf,98,55
51300641393,abf,275,118
51300693893,fbg,198,78
51300743720,fcb,163,195
51300747629,ffc,183,198
51300755053,dbe,107,268
51300759116,gfc,130,279
51300813245,dbc,50,231
51300847543,edf,35,295
51300888378,adf,42,142
51300894539,afd,278,16
51300911306,dba,125,209
51300939339,cdd,60,24
51300954020,agf,249,280
51300990552,aac,113,193
51301011416,abg,293,273
51301061322,abb,223,66
51301077600,fec,78,186
51301083705,bcc,172,78
51301147075,afc,97,72
51301184844,acc,237,255
51301215056,ege,273,147
51301263379,dca,60,135
51301278578,ebb,34,284
51301347462,ebf,160,50
51301373380,cdd,70,25
51301383262,bba,168,71
51301388814,dbg,58,67
51301417299,egb,212,217
51301426373,bee,220,135
51301434338,ecb,249,250
51301464898,dad,102,207
51301479771,bff,55,131
51301503731,bgc,186,105
51301506327,bba,171,64
51301507998,bda,247,183
51301511731,dcg,47,191
51301559357,gac,246,272
51301562236,gca,84,172
51301569778,ada,31,63
51301660548,bdf,87,210
51301670167,eee,78,253
51301722963,ccg,115,228
51301753160,bfg,90,262
51301759350,fdg,148,173
51301795016,cbf,2,299
51301808521,dda,97,51
51301810257,adg,148,15
51301821071,ecd,66,261
51301836400,gdd,182,289
51301867373,ccc,241,247
51301886256,fbg,55,74
51301890634,egc,118,214
51301903725,gae,78,23
51302095661,dgg,226,163
51302123781,gea,260,149
51302163260,ddf,134,208
51302201751,bbe,87,15
51302205673,edb,27,203
51302206918,acg,34,289
51302221452,gbf,294,66
51302221557,fcf,115,46
51302264734,ded,174,296
51302290479,cac,107,179
51302351189,dgf,21,292
51302362134,agf,11,324
51302363561,dbf,59,42
51302367029,gdg,28,67
51302380765,gce,215,10
51302463646,ebe,249,152
51302474080,faf,257,45
51302490406,bdb,290,155
51302514866,cbc,103,91
51302517719,bgc,120,111
51302518879,gee,282,243
51302528019,ddb,95,143
51302596653,ebf,247,57
51302643541,egc,47,237
51302668266,abf,155,107
51302671230,gfd,63,90
51302687941,afb,27,71
51302688804,cfc,169,27
51302691358,ecd,78,221
51302694403,ggg,229,157
51302696727,ggg,51,158
51302703521,aea,171,50
51302710829,agf,260,362
51302710947,ddc,283,120
51302756960,baa,252,181
51302790929,efb,168,175
51302795972,edg,235,161
51302827770,ade,275,211
51302837131,cfd,208,93
51302837403,cee,19,201
51302841286,dfc,143,191
51302859397,efa,7,188
51302934953,cdc,86,256
51302937326,bbg,197,280
51302979714,gbd,185,19
51302988540,cfg,128,168
51303002271,dca,187,110
51303020753,ccd,26,61
51303067472,cda,188,249
51303078316,cga,150,176
51303102006,ccd,69,57
51303107669,aga,188,267
51303112808,fgc,293,280
51303141865,afa,143,290
51303148010,feg,296,70
51303178471,eaf,265,131
51303185235,acf,69,237
51303235112,gab,232,21
51303243774,egb,297,240
51303243775,bfe,217,57
51303244332,abc,285,155
51303251343,bcb,285,93
51303316946,aae,76,45
51303319777,gbb,74,20
51303334259,afb,23,76
51303343444,aec,179,224
51303398772,eag,87,99
51303434586,fcd,20,292
51303437022,efd,17,45
51303464035,gda,159,189
51303466354,fdg,181,167
51303470472,ega,232,209
51303475416,faf,90,43
51303479740,geb,243,182
51303489390,gbf,214,60
51303495957,acf,157,194
51303601788,dfc,146,198
51303609021,ceb,280,9
51303698137,eba,233,170
51303745407,bfd,259,256
51303779616,caa,183,43
51303785382,afg,221,167
51303818990,aae,213,37
51303820369,cce,76,211
51303862097,eab,158,125
51303866696,gge,259,222
51303884057,dce,160,100
51303904913,gab,277,22
51303923446,edc,78,80
51303982033,cbe,297,192
51304049658,agc,87,183
51304121901,fad,113,85
51304140908,cee,260,231
51304151064,daa,79,72
51304164750,ecg,71,177
51304186942,bbb,89,183
51304218478,gfg,193,110
51304247862,acg,17,286
51304254019,fba,215,140
51304333996,bga,271,33
51304374966,cbb,28,100
51304394068,faf,223,36
51304398713,efd,59,38
51304444200,cdd,254,28
51304453895,gdd,149,260
51304524380,efe,138,65
51304526982,bgb,299,248
51304532071,dba,213,217
51304544598,aac,156,208
51304559927,cab,79,246
51304573806,dfa,46,230
51304654103,ece,44,38
51304657227,adb,182,239
51304696766,bac,209,285
51304725505,ecc,164,275
51304742860,gfa,66,189
51304766069,fae,278,281
51304793584,fga,190,73
51304822151,afd,104,14
51304825496,aef,83,56
51304826615,eaa,231,213
51304827395,eef,70,45
51304869419,bdf,135,207
51304886330,cga,259,144
51304896585,bfc,90,258
51304902491,fgd,104,259
51304905624,bda,120,215
51304913158,ebg,121,117
51304946959,ace,10,94
51304953953,deg,254,114
51304984203,bgd,129,298
51304990592,ddf,256,210
51305011455,gag,216,230
51305029106,cge,81,11
51305038482,edc,89,95
51305046768,fge,235,26
51305047938,bed,97,141
51305054398,aba,202,190
51305074233,egc,130,234
51305086610,dad,137,186
51305115108,ced,115,171
51305130459,fae,160,252
51305171632,cfa,38,66
51305192714,fcb,9,226
51305202649,dfd,58,68
51305212171,fdb,69,137
51305220176,dbb,224,124
51305224045,fbe,235,246
51305245595,bad,174,175
51305264903,gcc,79,16
51305268372,gcg,232,128
51305276273,dcd,37,292
51305294764,gcf,2,297
51305299292,ffb,243,64
51305300233,bdb,20,176
51305308901,dbf,243,34
51305322831,aff,225,146
51305330157,fgb,93,15
51305365411,gbg,9,50
51305369740,cga,241,126
51305381927,abe,110,161
51305384967,cea,297,145
51305385034,ccg,187,271
51305406410,eff,246,96
51305413205,ffa,57,149
51305436076,acd,206,295
51305446952,dae,188,66
51305454297,eee,139,220
51305455951,gbf,39,54
51305458584,aaf,148,91
51305483118,bag,187,214
51305505718,fbc,268,268
51305558392,ffe,156,98
51305564437,ffc,265,176
51305568833,dgb,6,221
51305570246,gaf,50,299
51305573873,ffa,80,151
51305582679,cef,186,295
51305583577,ddb,207,144
51305598151,edd,281,255
51305634959,gbd,22,19
51305676851,fdf,206,161
51305694200,gbf,140,61
51305694381,gga,286,65
51305756355,gbb,98,23
51305766758,add,191,155
51305770576,ega,122,169
51305777471,aae,40,41
51305780161,fbc,144,243
51305787681,efb,288,199
51305803364,egb,73,242
51305833617,eab,112,118
51305853884,eac,87,281
51305855799,efg,56,213
51305880740,geb,296,147
51305900817,cgd,52,266
51305916461,gec,66,209
51305924538,bca,194,105
51305967245,fgf,292,81
51305996591,gdf,221,169
51306042235,fbb,216,102
51306075529,cad,134,243
51306099483,aag,78,166
51306106800,abg,218,267
51306109819,fee,203,32
51306131795,fea,235,85
51306161527,afe,13,266
51306173621,fbd,256,228
51306215402,fed,1,49
51306215767,ade,119,206
51306254144,agg,155,69
51306264651,daf,287,26
51306276558,bdd,232,80
51306277868,dfe,210,128
51306324530,gba,264,66
51306326560,aga,7,296
51306328237,ddf,204,247
51306337682,cff,142,193
51306342713,fef,59,168
51306383936,faa,281,159
51306396731,eaf,285,107
51306416837,acb,169,25
51306420119,gcc,152,14
51306427800,fee,50,37
51306435718,dcc,121,75
51306474765,egf,61,128
51306478531,ggf,17,207
51306480311,fde,296,123
51306488442,fgb,14,14
51306503515,gaa,123,277
51306511241,ece,54,40
51306531963,bda,5,193
51306566110,ded,65,343
51306579885,ddf,226,227
51306610140,cdc,109,289
51306613789,gfb,162,165
51306635416,gff,225,184
51306660263,cee,1,256
51306689671,ggg,280,135
51306736309,acf,159,215
51306747683,cdf,64,139
51306763953,cba,257,263
51306779526,ebc,170,213
51306795198,dge,209,95
51306833894,cad,236,194
51306836797,gfe,41,44
51306839613,gcf,116,291
51306842757,ddf,164,181
51306845401,fgg,287,14
51306848883,fcd,296,256
51306861017,aga,133,307
51306864795,cbf,273,346
51306870713,gfd,38,89
51306871680,eec,273,25
51306882457,aed,284,264
51306888141,dab,269,115
51306897511,agb,17,128
51306940009,gde,192,145
51306956501,bbb,114,151
51306966350,eeb,116,235
51306968936,aea,119,50
51306974104,abd,202,169
51306976114,ffd,203,223
51306995196,ggc,221,255
51307013637,dfe,50,128
51307018882,egc,170,229
51307053800,gbg,27,59
51307069341,ead,276,225
51307072765,ceb,195,9
51307116773,fdf,37,135
51307122076,dac,104,277
51307130505,dbc,248,235
51307142891,ebd,274,163
51307206584,bge,213,34
51307253252,abd,194,153
51307279134,fff,82,221
51307298129,bae,24,6
51307308569,bfg,203,288
51307327428,edb,197,166
51307333391,acf,22,251
51307345781,ffg,239,196
51307352744,egb,261,212
51307354435,bfb,240,277
51307367976,gbc,142,43
51307368039,cbg,199,46
51307384763,cec,293,131
51307432256,fab,191,215
51307478581,dfg,1,137
51307480112,fge,267,30
51307507271,gef,288,246
51307510913,fba,204,155
51307523776,ccf,148,10
51307539243,ffe,278,98
51307548295,acf,285,248
51307572982,fdg,229,136
51307582451,fdc,221,126
51307626772,ebe,46,171
51307633574,dea,116,140
51307648123,ddd,41,247
51307691082,dde,75,289
51307698714,eea,200,161
51307724872,gea,289,137
51307732807,dda,242,42
51307740103,ggd,190,140
51307745895,gcb,3,97
51307751611,cdc,243,315
51307769415,geg,211,175
51307795068,cbd,134,59
51307819574,bed,111,145
51307850102,efa,95,208
51307857301,gca,59,189
51307872055,adf,60,153
51307875742,bbf,51,203
51307885370,feb,149,57
51307888641,bdc,207,22
51307933899,caf,268,104
51307945735,ebg,230,113
51307947968,ggc,200,277
51307985097,fgf,81,86
51307989495,gbd,181,19
51307989787,fac,247,282
51308012837,cag,156,105
51308039292,ege,194,141
51308040958,aca,176,214
51308087279,gcd,81,59
51308093196,aaa,298,199
51308101241,cfd,65,99
51308133683,ada,191,54
51308134679,daa,286,75
